KUNNR,LAND1,NAME1,ORT01,PSTLZ
0000000001,IN,Cox-Hayes,Gregorymouth,42406
0000000002,CA,"Dunn, Johnson and Howell",New Emily,40283
0000000003,CH,Wiley Ltd,Jamesmouth,15296
0000000004,KR,Ramos-Garcia,South Shannonfurt,97008
0000000005,FR,"Lucero, Carpenter and Brown",New Crystal,59390
0000000006,NL,"Salazar, Wood and Krueger",Annside,24533
0000000007,KR,"Thompson, Guzman and Wright",West Pedroview,66020
0000000008,NL,Pierce Inc,Luceroton,98320
0000000009,BR,Martinez-Grant,West Juliebury,75574
0000000010,AU,Smith-Wolf,Langtown,70217
0000000011,ES,Knight-Ramirez,Amandafort,66976
0000000012,JP,White-Chapman,Ayersfurt,65197
0000000013,NL,Baker LLC,Lopezberg,82236
0000000014,RU,Burnett Inc,Lake Jane,57359
0000000015,CA,Donovan-Ray,West Melanie,03320
0000000016,JP,"Gomez, Campbell and Berger",Port Danielland,85482
0000000017,US,"Harris, Smith and Wright",Joneshaven,86465
0000000018,FR,Gonzales Group,Port Brian,10204
0000000019,RU,Goodman-Glenn,Martineztown,91866
0000000020,NL,"Kennedy, Curry and Burns",Fordfurt,24773
0000000021,JP,"Gordon, Jones and Robertson",Wilsonchester,32278
0000000022,SE,Tate-Ross,Port Ricardo,01249
0000000023,MX,"White, Schwartz and Hamilton",Kellyton,07516
0000000024,BR,"Weeks, Larson and Houston",Maystad,92931
0000000025,IT,Silva PLC,Port Eddie,23255
0000000026,AU,"Lee, Davis and Lewis",Troyborough,35515
0000000027,FR,Ramos LLC,Lake Paul,69251
0000000028,RU,Combs-Griffith,West Kelsey,68514
0000000029,ZA,Buckley-Spencer,West Zachary,35937
0000000030,FR,Clark Group,Stephenside,65828
0000000031,JP,Brown LLC,Thompsonfort,03794
0000000032,AU,King and Sons,Lake Daltonborough,35304
0000000033,AU,Ramirez Inc,Lesliefurt,10332
0000000034,ES,Stewart-Duncan,Simmonsview,68220
0000000035,JP,"Harris, Evans and Bridges",Port Andrewport,91230
0000000036,ZA,Simmons and Sons,Sheritown,00906
0000000037,CN,"Bishop, May and Allen",Dannyhaven,05926
0000000038,ES,"Hull, Howard and Lewis",West Michelle,35431
0000000039,NL,"Holland, Santos and Randolph",East Debraburgh,97108
0000000040,AU,"Mcknight, Tucker and Knox",Robertville,82824
0000000041,CA,"Evans, Wagner and Curtis",East Whitney,34324
0000000042,NL,Clark and Sons,South Randall,62776
0000000043,BR,"Haley, Lane and Harris",Williamsmouth,30659
0000000044,DE,Lee Inc,South Trevor,61793
0000000045,KR,"Smith, Daniel and Lane",North Kyle,37765
0000000046,ZA,Harding-Rivera,Ashleymouth,37331
0000000047,NL,Gardner-Zuniga,South Keithberg,62073
0000000048,DE,Jones Ltd,Port Normanside,28839
