MATNR,MAKTX,MTART,BRGEW
MAT-000001,Mission particularly,HALB,18.12
MAT-000002,Pressure others,HALB,22.0
MAT-000003,Window heavy,FERT,43.44
MAT-000004,Campaign home,FERT,19.88
MAT-000005,Country this,FERT,30.15
MAT-000006,Religious music,FERT,7.14
MAT-000007,Democratic ten,HALB,27.97
MAT-000008,There open,ROH,41.62
MAT-000009,Picture citizen,ROH,29.45
MAT-000010,Including space,FERT,8.08
MAT-000011,Sea million,HALB,40.63
MAT-000012,Key own,FERT,28.97
MAT-000013,Security affect,HALB,0.7
MAT-000014,Personal traditional,FERT,23.56
MAT-000015,Deal third,ROH,20.7
MAT-000016,Officer difference,ROH,42.55
MAT-000017,Today firm,ROH,27.18
MAT-000018,Network news,HALB,41.29
MAT-000019,Involve magazine,HALB,47.1
MAT-000020,Whole senior,FERT,46.66
MAT-000021,Loss upon,FERT,1.93
MAT-000022,Who even,FERT,12.45
MAT-000023,Drop few,FERT,32.23
MAT-000024,Same easy,ROH,31.96
MAT-000025,Series common,ROH,34.29
MAT-000026,Ok job,FERT,24.3
MAT-000027,Each need,ROH,43.82
MAT-000028,Reveal member,HALB,49.82
MAT-000029,Sell spring,ROH,40.78
MAT-000030,Big player,HALB,32.58
MAT-000031,Safe officer,FERT,14.54
MAT-000032,Economic central,HALB,20.76
MAT-000033,Know blue,FERT,45.76
MAT-000034,Very PM,FERT,40.82
MAT-000035,High probably,ROH,37.64
MAT-000036,Ten source,ROH,10.62
MAT-000037,Pretty manager,HALB,11.84
MAT-000038,Thus difference,ROH,2.67
MAT-000039,Region but,HALB,8.71
MAT-000040,Newspaper box,FERT,49.19
MAT-000041,Them star,ROH,35.73
MAT-000042,Care poor,FERT,32.55
MAT-000043,Position run,HALB,38.1
MAT-000044,Road myself,HALB,30.49
MAT-000045,Room expect,HALB,31.0
MAT-000046,Television right,FERT,3.06
MAT-000047,Himself would,HALB,41.68
MAT-000048,Get collection,ROH,44.6
MAT-000049,Sort like,HALB,24.26
MAT-000050,Customer drive,FERT,32.58
MAT-000051,And begin,HALB,31.28
MAT-000052,More physical,HALB,36.62
MAT-000053,Rise religious,ROH,36.09
MAT-000054,Every least,HALB,41.68
MAT-000055,Just true,HALB,29.25
MAT-000056,Attention piece,ROH,48.5
MAT-000057,Wind agree,FERT,17.42
MAT-000058,Result many,FERT,41.81
MAT-000059,Thousand this,HALB,33.17
MAT-000060,Meet throw,ROH,27.2
MAT-000061,Local life,FERT,24.37
MAT-000062,Feel available,HALB,35.67
MAT-000063,Property role,ROH,42.92
MAT-000064,Area story,FERT,9.63
MAT-000065,Center doctor,ROH,39.01
MAT-000066,Feeling large,HALB,30.31
MAT-000067,Ever single,FERT,45.08
MAT-000068,Consumer close,ROH,11.44
MAT-000069,Skill could,HALB,39.58
MAT-000070,Security reveal,ROH,47.21
MAT-000071,Marriage prepare,ROH,31.93
MAT-000072,If each,HALB,49.8
MAT-000073,Year under,FERT,0.61
MAT-000074,Grow specific,ROH,23.82
MAT-000075,Method dinner,FERT,29.99
MAT-000076,Argue store,FERT,16.65
MAT-000077,Attention myself,HALB,4.55
MAT-000078,Claim break,ROH,0.99
MAT-000079,Seven coach,ROH,30.58
MAT-000080,Would way,FERT,42.76
MAT-000081,Affect health,FERT,32.25
MAT-000082,Forget cut,ROH,14.27
MAT-000083,End theory,ROH,46.11
MAT-000084,Move important,FERT,29.01
MAT-000085,Perform foreign,ROH,20.79
MAT-000086,Bill soon,FERT,23.52
MAT-000087,Office street,ROH,37.72
MAT-000088,Customer sound,ROH,32.47
MAT-000089,Southern suggest,ROH,3.46
MAT-000090,Add hour,ROH,37.01
MAT-000091,Safe cut,FERT,39.9
MAT-000092,Community serious,ROH,31.99
MAT-000093,Scene letter,ROH,29.02
MAT-000094,Lawyer something,HALB,0.65
MAT-000095,Soon operation,HALB,29.56
MAT-000096,Compare thus,ROH,40.11
MAT-000097,Everything study,ROH,14.73
MAT-000098,Meet mouth,FERT,17.8
MAT-000099,Despite too,FERT,0.59
MAT-000100,Would crime,ROH,48.48
MAT-000101,And small,FERT,35.08
MAT-000102,Risk star,ROH,2.2
MAT-000103,Skin market,HALB,19.94
MAT-000104,Win important,FERT,20.6
MAT-000105,Company story,FERT,10.36
MAT-000106,Decision million,ROH,14.93
MAT-000107,They never,ROH,41.71
MAT-000108,Several hear,HALB,38.21
MAT-000109,Early why,FERT,39.72
MAT-000110,World benefit,HALB,17.77
MAT-000111,Physical watch,FERT,27.69
MAT-000112,Push effect,FERT,10.18
MAT-000113,Reach listen,HALB,29.74
MAT-000114,Situation every,ROH,42.85
MAT-000115,Director moment,ROH,30.9
MAT-000116,Between radio,HALB,25.25
MAT-000117,Call teacher,FERT,2.37
MAT-000118,Leave able,ROH,15.45
MAT-000119,Science here,FERT,22.0
MAT-000120,Hot country,ROH,48.9
MAT-000121,Benefit no,ROH,47.17
MAT-000122,Center argue,FERT,40.24
MAT-000123,Present above,HALB,28.49
MAT-000124,It serious,ROH,23.38
MAT-000125,Over discuss,FERT,49.26
MAT-000126,Mean produce,HALB,32.38
MAT-000127,Fall bank,HALB,10.27
MAT-000128,Including safe,ROH,40.17
MAT-000129,Activity while,ROH,16.28
MAT-000130,Without issue,HALB,37.3
MAT-000131,Who price,HALB,48.52
MAT-000132,Popular describe,FERT,33.14
MAT-000133,Everyone like,HALB,4.69
MAT-000134,Phone his,FERT,2.66
MAT-000135,Ten something,FERT,30.98
MAT-000136,Structure keep,HALB,19.64
MAT-000137,Few hot,ROH,6.29
MAT-000138,True agent,FERT,28.56
MAT-000139,Front always,FERT,33.45
MAT-000140,Card for,HALB,10.57
MAT-000141,Pick region,HALB,12.6
MAT-000142,Air situation,FERT,38.38
MAT-000143,Eye easy,HALB,47.86
MAT-000144,Woman left,FERT,37.98
MAT-000145,Involve special,ROH,32.51
MAT-000146,Hundred attention,FERT,5.99
MAT-000147,Special life,FERT,30.73
MAT-000148,Order wait,ROH,46.14
MAT-000149,Tree technology,HALB,46.49
MAT-000150,Top example,HALB,39.66
MAT-000151,Accept language,ROH,30.42
MAT-000152,Someone his,FERT,16.52
MAT-000153,Administration wide,ROH,26.04
MAT-000154,Later avoid,HALB,46.29
MAT-000155,Century change,FERT,2.79
MAT-000156,Half quality,FERT,16.25
MAT-000157,Nation against,ROH,33.89
MAT-000158,Group PM,ROH,20.02
MAT-000159,Behind easy,ROH,3.98
MAT-000160,Even add,FERT,21.94
MAT-000161,Exist care,HALB,36.04
MAT-000162,Paper draw,FERT,13.44
MAT-000163,Fly sea,HALB,28.41
MAT-000164,Central lose,FERT,48.26
MAT-000165,Onto right,ROH,15.94
MAT-000166,Personal finish,HALB,14.42
MAT-000167,Resource image,ROH,24.02
MAT-000168,Line best,ROH,9.02
MAT-000169,Friend difficult,HALB,14.92
MAT-000170,Data sell,ROH,42.2
MAT-000171,Allow crime,HALB,20.36
MAT-000172,Nature memory,HALB,23.73
MAT-000173,Size lay,ROH,39.35
MAT-000174,Door rise,HALB,19.79
MAT-000175,South executive,ROH,40.39
MAT-000176,Stuff building,HALB,20.6
MAT-000177,Imagine research,ROH,11.87
MAT-000178,Purpose painting,FERT,38.67
MAT-000179,Degree near,FERT,46.85
MAT-000180,Under about,FERT,1.99
MAT-000181,Trade candidate,HALB,46.8
MAT-000182,In peace,HALB,43.84
MAT-000183,Less middle,ROH,44.8
MAT-000184,Interesting pick,ROH,9.22
MAT-000185,Evidence among,HALB,34.02
MAT-000186,My defense,ROH,3.3
MAT-000187,Maintain partner,FERT,35.02
MAT-000188,Deep actually,ROH,0.81
MAT-000189,Color institution,FERT,37.4
MAT-000190,Hard water,ROH,3.7
MAT-000191,Tonight society,HALB,38.49
MAT-000192,Push vote,HALB,12.05
MAT-000193,Must career,FERT,19.5
MAT-000194,Across scene,ROH,3.49
MAT-000195,Know all,ROH,28.21
MAT-000196,These good,HALB,15.85
MAT-000197,Avoid man,HALB,3.25
MAT-000198,Ball rate,FERT,31.83
MAT-000199,Five south,FERT,5.46
MAT-000200,Language physical,HALB,15.54
MAT-000201,Worker boy,HALB,47.39
MAT-000202,Employee newspaper,ROH,1.64
MAT-000203,Expert American,ROH,11.18
MAT-000204,List radio,FERT,10.75
MAT-000205,Writer coach,HALB,31.57
MAT-000206,Yourself clear,FERT,44.63
