VBELN,ERDAT,AUART,KUNNR
2000009876,2024-03-16,OR,0000000453
2000005299,2023-04-02,OR,0000000286
2000007131,,SO,0000000064
2000004527,2024-08-09,OR,0000000394
2000007354,2025-03-26,OR,0000000414
2000000184,2023-08-29,OR,0000000068
2000002960,2023-07-01,OR,0000000149
2000002207,2024-05-03,OR,0000000500
2000004156,2023-02-09,OR,0000000013
2000009634,2024-12-17,OR,0000000016
2000009378,2023-09-20,OR,0000000250
2000006309,2024-01-29,OR,0000000027
2000004292,2025-02-04,OR,0000000019
2000001073,2023-04-14,OR,0000000152
2000009912,2024-04-23,OR,0000000329
2000008700,2024-04-19,OR,0000000078
2000001835,2023-10-26,OR,0000000038
2000004283,2023-06-15,OR,0000000426
2000008222,2025-05-27,OR,0000000310
2000008164,2023-12-29,OR,0000000283
2000009202,2023-02-02,OR,0000000228
2000009889,2023-02-01,OR,0000000365
2000006400,2023-08-06,RE,0000000014
2000009079,2025-08-06,OR,0000000461
2000000233,2023-05-06,OR,0000000467
2000003810,2024-07-23,OR,0000000126
2000005758,2022-12-27,OR,0000000128
2000002977,2025-07-04,SO,0000000472
2000006028,2024-11-27,OR,0000000139
2000009412,2023-07-14,OR,0000000234
2000002918,2024-07-20,SO,0000000420
2000007642,2023-11-26,OR,0000000496
2000009285,2023-02-23,OR,0000000011
2000000661,2024-04-17,OR,0000000373
2000001462,2024-01-14,RE,0000000428
2000008872,2026-02-05,OR,0000000469
2000004187,2024-05-24,OR,0000000409
2000008322,2024-10-23,OR,0000000471
2000006981,2024-03-11,OR,0000000334
2000006874,2024-05-06,OR,0000000275
2000008439,2023-10-13,OR,0000000341
2000007435,2025-07-17,OR,0000000298
2000000132,2025-06-25,OR,0000000027
2000007116,2023-11-20,OR,0000000500
2000008328,2023-05-12,OR,0000000431
2000007319,2024-10-12,OR,0000000041
2000009776,2022-10-08,OR,0000000057
2000001611,2023-04-02,OR,0000000109
2000009173,2025-08-02,OR,0000000321
2000003774,2024-03-01,OR,0000000115
2000003158,2023-04-26,OR,0000000067
2000006770,2025-06-17,OR,0000000190
2000005063,2024-05-01,OR,0000000412
2000001533,2024-05-21,OR,0000000347
2000005577,2023-12-19,OR,0000000451
2000007450,2024-07-10,OR,0000000359
2000001615,2024-07-31,OR,0000000460
2000009179,2023-03-16,OR,0000000131
2000002028,2023-12-08,OR,0000000429
2000003905,2025-07-24,OR,0000000175
2000008438,2022-12-28,OR,0000000433
2000000182,2022-09-24,OR,0000000385
2000003621,2023-06-26,RE,0000000106
2000007821,2023-07-29,OR,0000000191
2000004517,2025-05-26,OR,0000000081
2000008114,2024-05-31,OR,0000000216
2000006936,2025-04-13,OR,0000000251
2000005979,2025-02-22,OR,0000000030
2000005165,2022-10-08,RE,0000000256
2000007973,2026-01-04,OR,0000000432
2000009113,2022-09-10,OR,0000000139
2000003440,2024-08-31,OR,0000000338
2000004144,2025-06-28,OR,0000000399
2000001910,2023-05-03,OR,0000000364
2000008347,2023-08-27,OR,0000000113
2000003380,2023-12-13,OR,0000000080
2000000844,2024-12-15,OR,0000000471
2000000464,2023-10-16,OR,0000000054
2000005332,2023-06-18,OR,0000000263
2000007051,2024-03-19,OR,0000000193
2000006794,2025-07-13,OR,0000000331
2000007092,2023-05-18,OR,0000000122
2000000763,2023-10-19,OR,0000000239
2000009189,2023-11-19,OR,0000000113
2000001961,2025-07-05,OR,0000000017
2000005080,2025-04-01,OR,0000000090
2000002553,2023-02-11,OR,0000000050
2000005182,2023-11-11,RE,0000000390
2000002319,2024-01-21,OR,0000000329
2000002898,2023-10-14,OR,0000000359
2000004217,2024-10-29,OR,0000000295
2000008176,2024-08-18,OR,0000000057
2000003320,2025-05-22,OR,0000000351
2000004949,2024-05-05,RE,0000000347
2000005648,2023-01-01,OR,0000000313
2000008693,2024-06-21,OR,0000000268
2000004663,2023-10-20,RE,0000000413
2000005644,,OR,0000000009
2000003839,2025-08-03,SO,0000000168
2000005617,2023-01-14,OR,0000000032
2000000227,2023-08-03,OR,0000000432
2000005173,2024-10-01,OR,0000000328
2000001210,2023-08-10,OR,0000000384
2000003466,2025-02-25,OR,0000000174
2000009034,2024-09-03,OR,0000000196
2000001430,2024-01-23,OR,0000000266
2000005105,2024-05-07,SO,0000000094
2000005113,2025-02-24,RE,0000000028
2000002507,2025-03-04,OR,0000000090
2000005560,2024-07-11,OR,0000000299
2000005359,2022-10-24,OR,0000000392
2000008198,2025-07-16,OR,0000000310
2000001017,2023-10-22,OR,0000000455
2000006829,2025-06-27,OR,0000000424
2000009676,2025-02-23,OR,0000000181
2000007502,2023-09-05,OR,0000000256
2000006533,2025-07-28,OR,0000000157
2000009664,2023-03-09,OR,0000000487
2000007724,2023-09-01,OR,0000000041
2000004428,2023-12-30,RE,0000000500
2000000290,2024-08-30,RE,0000000248
2000004587,2023-07-16,OR,0000000096
2000008098,2023-01-17,OR,0000000083
2000007382,2024-12-16,OR,0000000298
2000008224,2023-06-05,OR,0000000073
2000000293,2023-06-25,OR,0000000480
2000000375,2023-02-05,OR,0000000160
2000008645,2024-12-28,OR,0000000442
2000005254,2022-12-06,OR,0000000081
2000007549,2022-12-28,OR,0000000294
2000008952,2023-04-24,OR,0000000356
2000001221,2024-03-24,OR,0000000350
2000006668,2024-10-05,OR,0000000442
2000006973,2024-01-20,OR,0000000305
2000001567,2025-07-12,OR,0000000462
2000009857,2024-04-02,OR,0000000191
2000009697,2024-02-07,OR,0000000018
2000005215,2023-11-13,OR,0000000276
2000004999,2025-03-24,OR,0000000096
2000005679,2024-09-19,OR,0000000383
2000001628,2024-03-01,OR,0000000194
2000004782,2023-05-05,OR,0000000271
2000001312,2023-12-30,OR,0000000472
2000008691,2023-04-20,OR,0000000122
2000000557,2025-08-08,OR,0000000402
2000003823,2022-11-26,RE,0000000080
2000002445,2023-12-31,RE,0000000014
2000003093,2023-11-22,OR,0000000317
2000006234,2025-06-12,OR,0000000344
2000007708,2023-08-08,OR,0000000418
2000007889,2024-08-21,OR,0000000442
2000008743,2023-01-06,OR,0000000269
2000002337,2025-05-25,OR,0000000282
2000005862,2024-03-16,OR,0000000243
2000008308,2024-11-20,OR,0000000195
2000007726,2023-09-28,OR,0000000335
2000007263,2023-05-25,RE,0000000316
2000007633,,OR,0000000047
2000008420,2024-11-29,RE,0000000161
2000000927,2023-07-20,OR,0000000445
2000002252,2024-07-31,OR,0000000049
2000002135,2025-07-09,OR,0000000381
2000000185,2025-02-27,OR,0000000480
2000000210,2024-12-25,OR,0000000077
2000000748,2024-12-26,OR,0000000224
2000008039,2025-03-01,OR,0000000205
2000003291,2024-07-25,OR,0000000092
2000000965,2023-03-02,OR,0000000146
2000006328,2023-08-08,RE,0000000072
2000008368,2025-04-17,OR,0000000356
2000000473,2023-08-16,OR,0000000098
2000007839,2024-12-03,RE,0000000343
2000001382,2024-03-08,RE,0000000040
2000008936,2023-07-31,OR,0000000375
2000002243,2025-01-05,OR,0000000384
2000003396,2023-09-04,SO,0000000431
2000000599,2024-03-21,OR,0000000446
2000002170,2024-03-26,RE,0000000379
2000006908,2023-09-15,OR,0000000492
2000009499,2023-05-27,OR,0000000234
2000004780,2024-05-03,OR,0000000398
2000009024,2023-02-22,OR,0000000128
2000008986,2024-06-11,OR,0000000040
2000009397,2023-12-19,OR,0000000081
2000000256,2024-03-24,OR,0000000142
2000005114,,OR,0000000317
2000008782,2026-06-28,OR,0000000406
2000009853,,OR,0000000119
2000001527,2024-05-09,OR,0000000356
2000007520,2022-12-30,OR,0000000275
2000007211,2023-03-19,RE,0000000251
2000001037,2023-03-01,OR,0000000263
2000003137,2024-06-18,RE,0000000283
2000007025,2024-12-11,OR,0000000192
2000000659,2022-12-22,RE,0000000231
2000004945,2024-10-23,OR,0000000063
2000009400,2024-04-15,OR,0000000485
2000000343,2023-07-04,OR,0000000389
2000008836,2022-12-01,OR,0000000130
2000004436,2023-09-11,OR,0000000244
2000004823,2024-03-11,OR,0000000004
2000003942,2024-08-09,OR,0000000268
2000007846,2024-03-16,RE,0000000237
2000009651,2024-01-08,OR,0000000282
2000003346,2023-07-21,RE,0000000102
2000004585,2023-09-15,OR,0000000010
2000002206,2023-04-11,OR,0000000383
2000007640,2024-06-15,OR,0000000062
2000008793,2025-03-08,OR,0000000041
2000005449,2023-04-18,OR,0000000268
2000007126,2023-03-28,OR,0000000218
2000003108,2023-02-19,OR,0000000138
2000000223,2024-11-16,OR,0000000125
2000001617,2023-07-04,OR,0000000226
2000000990,2023-04-20,OR,0000000497
2000003388,2023-09-19,OR,0000000497
2000003920,2024-10-20,SO,0000000152
2000002404,2023-06-23,OR,0000000311
2000003489,2024-09-15,RE,0000000064
2000003325,2024-05-17,RE,0000000466
2000008102,2023-12-06,OR,0000000087
2000003866,2023-11-13,OR,0000000157
2000005458,2025-01-31,OR,0000000174
2000006634,2023-04-22,OR,0000000374
2000005345,2023-05-04,OR,0000000428
2000000528,2024-01-11,OR,0000000383
2000006671,2024-02-23,OR,0000000443
2000009276,2024-02-23,OR,0000000216
2000001505,2022-10-09,OR,0000000156
2000009091,2025-01-27,OR,0000000214
2000002267,2024-08-11,RE,0000000020
2000009600,2025-02-09,RE,0000000086
2000003506,2022-11-20,OR,0000000107
2000006555,2024-07-13,OR,0000000331
2000007372,2023-12-16,OR,0000000224
2000007258,2023-05-17,RE,0000000346
2000000006,2023-05-20,OR,0000000292
2000002956,2024-11-11,OR,0000000467
2000008666,2022-09-25,OR,0000000142
2000004401,2023-12-28,OR,0000000321
2000004454,2024-09-07,OR,0000000464
2000001583,2024-05-22,OR,0000000113
2000007097,2024-11-14,OR,0000000471
2000006912,2025-02-10,SO,0000000244
2000002920,2023-09-26,OR,0000000122
2000003407,2025-06-10,OR,0000000012
2000007559,2023-04-20,OR,0000000158
2000006821,2024-08-01,OR,0000000308
2000005530,2022-11-02,OR,0000000372
2000003824,2024-07-06,OR,0000000378
2000003505,2025-08-21,OR,0000000247
2000006193,2023-02-21,OR,0000000132
2000007827,2023-02-07,OR,0000000027
2000002516,2022-10-20,OR,0000000252
2000005265,2022-09-02,OR,0000000374
2000009536,2023-10-20,OR,0000000384
2000000327,2023-04-06,OR,0000000150
2000006296,2025-01-12,OR,0000000080
2000007221,2023-04-06,OR,0000000393
2000003447,2023-08-28,OR,0000000088
2000007946,2023-08-12,OR,0000000379
2000008998,2025-02-04,OR,0000000044
2000006742,2024-02-10,SO,0000000424
2000007998,2025-08-10,RE,0000000159
2000002718,2024-06-21,OR,0000000159
2000001755,2025-03-24,OR,0000000114
2000000186,2025-06-03,OR,0000000412
2000001443,2024-12-05,OR,0000000066
2000006767,2024-06-15,OR,0000000467
2000003720,2023-03-24,OR,0000000142
2000001758,,OR,0000000243
2000004031,2025-01-26,OR,0000000004
2000006270,2023-07-09,RE,0000000358
2000004082,2024-01-21,OR,0000000493
2000001007,2024-02-11,OR,0000000459
2000008117,2023-02-14,OR,0000000077
2000007935,2025-02-25,SO,0000000267
2000001402,2023-01-05,RE,0000000059
2000009508,2024-11-11,OR,0000000446
2000007607,2023-10-13,OR,0000000027
2000002952,2025-02-19,RE,0000000385
2000005563,2023-01-05,OR,0000000332
2000001516,2023-12-30,OR,0000000236
2000005965,2024-10-04,RE,0000000394
2000006741,2024-10-18,SO,0000000414
2000009512,2024-09-01,OR,0000000266
2000008665,2023-09-17,SO,0000000373
2000004230,2024-02-28,OR,0000000202
2000007480,2024-01-16,RE,0000000383
2000004373,2023-06-18,OR,0000000271
2000001374,2025-01-01,OR,0000000163
2000009049,2025-06-19,OR,0000000032
2000003215,2024-08-29,OR,0000000203
2000007034,2023-03-16,OR,0000000492
2000003570,2024-01-15,OR,0000000111
2000003230,2022-11-21,RE,0000000191
2000003082,2022-12-05,OR,0000000130
2000008122,2023-09-26,OR,0000000041
2000003055,2025-04-12,OR,0000000406
2000003004,2023-07-16,OR,0000000295
2000001421,2023-12-21,RE,0000000277
2000006523,2025-01-22,OR,0000000246
2000009170,2023-02-04,OR,0000000257
2000008425,2025-02-02,OR,0000000253
2000001120,2025-08-01,OR,0000000305
2000001388,2025-02-03,OR,0000000310
2000007953,2023-03-09,OR,0000000168
2000002221,2022-09-26,OR,0000000173
2000006462,2022-10-12,OR,0000000096
2000005976,2023-04-03,OR,0000000175
2000007237,2022-11-18,OR,0000000370
2000006427,2024-07-17,OR,0000000423
2000001729,2023-08-11,OR,0000000087
2000004667,2025-05-20,OR,0000000438
2000006254,2024-02-22,SO,0000000358
2000003745,2024-07-14,SO,0000000447
2000008421,2025-01-30,OR,0000000157
2000009611,2024-06-26,OR,0000000341
2000006717,2024-12-23,OR,0000000444
2000005198,2024-04-23,OR,0000000226
2000005890,2025-02-15,SO,0000000074
2000006490,2022-09-08,OR,0000000047
2000008459,2024-02-15,OR,0000000209
2000008903,2023-12-14,OR,0000000018
