VBELN,POSNR,MATNR,KWMENG,NETWR
2000006808,20,MAT-000814,57,70230.84
2000004635,10,MAT-000104,4,7743.12
2000004514,20,MAT-000734,2,392.66
2000008124,20,MAT-000255,86,140114.64
2000002593,10,MAT-000495,13,999.57
2000001832,30,MAT-000729,29,13436.57
2000008291,10,MAT-000248,91,151620.56
2000006548,10,MAT-000765,49,8663.69
2000007864,30,MAT-000044,19,8550.95
2000007930,10,MAT-000521,97,90048.98
2000007392,20,MAT-000953,45,31930.2
2000000610,10,MAT-000004,29,47091.36
2000006537,10,MAT-000132,24,4789.2
2000004049,30,MAT-000908,91,178907.82
2000003240,40,MAT-000403,82,31437.16
2000006809,20,MAT-000765,35,57493.8
2000009501,50,MAT-000908,46,25292.64
2000001333,20,MAT-000105,7,4836.16
2000005752,20,MAT-000418,97,141801.39
2000009477,10,MAT-000706,36,4019.4
2000004540,20,MAT-000701,28,34670.72
2000000411,40,MAT-000596,50,85019.0
2000000315,10,MAT-000250,41,28898.03
2000008826,10,MAT-000283,73,139172.31
2000005782,30,MAT-000416,78,46547.28
2000006888,40,MAT-000373,70,119809.2
2000008638,40,MAT-000783,53,71767.83
2000009550,20,MAT-000617,6,4548.84
2000004246,30,MAT-000817,93,2635.62
2000001592,10,MAT-000096,77,42255.29
2000008736,20,MAT-000074,24,10772.88
2000008853,20,MAT-000593,23,21833.21
2000006015,20,MAT-000329,7,12722.15
2000009425,10,MAT-000204,71,75999.82
2000000084,10,MAT-000348,58,101893.24
2000002637,10,MAT-000811,35,69580.0
2000002959,40,MAT-000327,50,27235.5
2000001493,10,MAT-000791,32,30636.8
2000008998,20,MAT-000444,77,34152.58
2000004711,30,MAT-000937,41,2834.74
2000008355,40,MAT-000987,5,6663.95
2000001127,30,MAT-000265,59,52313.53
2000003262,10,MAT-000790,57,98492.58
2000000114,30,MAT-000816,52,55102.84
2000005732,30,MAT-000434,53,35938.77
2000005435,30,MAT-000276,57,35498.46
2000005299,20,MAT-000768,46,83372.7
2000001210,20,MAT-000652,85,11681.55
2000009349,10,MAT-000399,38,57770.64
2000007793,10,MAT-000807,90,74061.9
2000001272,10,MAT-000904,45,19333.35
2000004743,10,MAT-000583,74,21902.52
2000007041,30,MAT-000796,92,76354.48
2000004858,30,MAT-000216,49,10547.74
2000003968,30,MAT-000624,81,37692.54
2000006406,20,MAT-000812,8,15402.16
2000000371,40,MAT-000307,83,103598.94
2000000083,10,MAT-000309,18,14599.26
2000003432,10,MAT-000267,51,72924.9
2000007788,10,MAT-000345,80,79086.4
2000007744,30,MAT-000401,16,24451.68
2000008328,10,MAT-000487,9,8399.52
2000004630,20,MAT-000109,22,23233.54
2000007234,10,MAT-000052,30,50809.5
2000001079,40,MAT-000361,39,
2000009550,50,MAT-000659,68,7375.28
2000002798,40,MAT-000407,54,101431.44
2000004762,10,MAT-000265,90,98317.8
2000008762,10,MAT-000394,61,51644.43
2000008342,30,MAT-000231,54,88006.5
2000005665,20,MAT-000347,65,49775.05
2000007783,40,MAT-000225,52,31859.36
2000009177,10,MAT-000131,69,38784.21
2000005239,10,MAT-000796,6,10004.58
2000008532,30,MAT-000169,74,115015.24
2000006257,30,MAT-000868,98,182554.4
2000009933,30,MAT-000967,32,55027.52
2000004354,30,MAT-000750,63,7365.33
2000003158,50,MAT-001000,14,23441.18
2000005782,20,MAT-000276,82,125017.2
2000002351,10,MAT-000034,43,36330.27
2000003979,30,MAT-000679,25,33562.75
2000005421,10,MAT-000197,33,20133.96
2000002877,10,MAT-000530,19,31724.68
2000007086,30,MAT-000497,75,24720.0
2000007429,30,MAT-000436,86,104597.5
2000008829,40,MAT-000481,28,14633.36
2000003759,40,MAT-000500,21,
2000000300,30,MAT-000982,9,11526.66
2000006008,10,MAT-000921,40,61136.4
2000008726,40,MAT-000287,83,
2000007973,10,MAT-000437,42,
2000002745,10,MAT-000350,3,
